Bidirec_LSTM_false,Bidirec_LSTM_true,Bidirec_LSTM_prediction_accuracy
0.0,0.0,0.86
0.07142857142857142,0.8269230769230769,0.86
1.0,1.0,0.78
,,0.8
,,0.84
,,0.92
,,0.92
,,0.82
