Bidirec_LSTM_false,Bidirec_LSTM_true,Bidirec_LSTM_prediction_accuracy
0.0,0.0,0.82
0.0,0.6730769230769231,0.78
1.0,1.0,0.62
,,0.6
,,0.74
,,1.0
,,1.0
,,1.0
