SimpleRnn_false,SimpleRnn_true,SimpleRnn_prediction_accuracy
0.0,0.0,0.98
0.0,0.9423076923076923,0.94
1.0,1.0,0.96
,,0.98
,,0.98
,,1.0
,,1.0
,,1.0
