Bidirec_LSTM_false,Bidirec_LSTM_true,Bidirec_LSTM_prediction_accuracy
0.0,0.0,0.02
0.0,0.7692307692307693,0.06
1.0,1.0,0.02
,,0.02
,,0.02
,,1.0
,,1.0
,,1.0
