Bidirec_LSTM_false,Bidirec_LSTM_true,Bidirec_LSTM_prediction_accuracy
0.0,0.0,0.84
0.0,0.8076923076923077,0.88
1.0,1.0,0.78
,,0.76
,,0.86
,,1.0
,,1.0
,,1.0
