Bidirec_GRU_false,Bidirec_GRU_true,Bidirec_GRU_prediction_accuracy
0.0,0.0,1.0
0.0,0.8076923076923077,1.0
1.0,1.0,1.0
,,1.0
,,1.0
,,0.0
,,0.0
,,0.0
