SimpleRnn_false,SimpleRnn_true,SimpleRnn_prediction_accuracy
0.0,0.0,1.0
0.0,0.9615384615384616,0.98
1.0,1.0,1.0
,,0.98
,,1.0
,,1.0
,,1.0
,,1.0
